OID,Shape_Length,Shape_Area,x_z,y_z,dy_conf
41,4000,1000000,116.3397838,39.82461515,1.6
42,4000,1000000,116.3514683,39.82468105,0.0
43,4000,1000000,116.3631529,39.82474578,0.0
44,4000,1000000,116.3748375,39.82480933,0.0
45,4000,1000000,116.3865221,39.8248717,0.0
46,4000,1000000,116.3982068,39.8249329,1.4
47,4000,1000000,116.4098915,39.82499292,0.0
48,4000,1000000,116.4215763,39.82505176,0.0
49,4000,1000000,116.4332611,39.82510942,1.4
50,4000,1000000,116.4449459,39.82516591,0.0
51,4000,1000000,116.4566307,39.82522123,1.6
52,4000,1000000,116.4683156,39.82527536,1.4
53,4000,1000000,116.4800005,39.82532832,1.4
54,4000,1000000,116.4916855,39.8253801,0.0
55,4000,1000000,116.5033705,39.82543071,0.0
56,4000,1000000,116.5150555,39.82548014,0.0
57,4000,1000000,116.5267405,39.82552839,0.0
58,4000,1000000,116.5384255,39.82557546,0.0
59,4000,1000000,116.5501106,39.82562136,0.0
60,4000,1000000,116.5617957,39.82566608,0.0
61,4000,1000000,116.2228392,39.83290066,0.0
62,4000,1000000,116.2345249,39.83297835,0.0
63,4000,1000000,116.2462105,39.83305486,0.0
64,4000,1000000,116.2578963,39.8331302,0.0
65,4000,1000000,116.269582,39.83320437,0.0
66,4000,1000000,116.2812679,39.83327735,1.5
67,4000,1000000,116.2929537,39.83334916,1.4
68,4000,1000000,116.3046396,39.83341979,1.3
69,4000,1000000,116.3163255,39.83348924,1.0
70,4000,1000000,116.3280115,39.83355752,0.0
71,4000,1000000,116.3396975,39.83362462,1.2
72,4000,1000000,116.3513836,39.83369054,1.5
73,4000,1000000,116.3630697,39.83375529,1.5
74,4000,1000000,116.3747558,39.83381886,1.2
75,4000,1000000,116.386442,39.83388125,1.3
76,4000,1000000,116.3981282,39.83394247,1.3
77,4000,1000000,116.4098144,39.83400251,0.0
78,4000,1000000,116.4215007,39.83406137,1.2
79,4000,1000000,116.433187,39.83411905,1.6
80,4000,1000000,116.4448734,39.83417556,0.0
81,4000,1000000,116.4565598,39.83423089,0.0
82,4000,1000000,116.4682462,39.83428504,1.2
83,4000,1000000,116.4799326,39.83433802,1.2
84,4000,1000000,116.4916191,39.83438982,0.0
85,4000,1000000,116.5033056,39.83444044,0.0
86,4000,1000000,116.5149921,39.83448988,0.0
87,4000,1000000,116.5266787,39.83453815,0.0
88,4000,1000000,116.5383652,39.83458524,1.4
89,4000,1000000,116.5500519,39.83463115,0.0
90,4000,1000000,116.5617385,39.83467589,0.0
91,4000,1000000,116.2227377,39.84190988,0.0
92,4000,1000000,116.2344248,39.8419876,1.5
93,4000,1000000,116.246112,39.84206414,0.0
94,4000,1000000,116.2577993,39.8421395,1.2
95,4000,1000000,116.2694866,39.84221369,0.0
96,4000,1000000,116.2811739,39.8422867,1.4
97,4000,1000000,116.2928613,39.84235853,1.2
98,4000,1000000,116.3045487,39.84242918,0.0
99,4000,1000000,116.3162362,39.84249866,1.5
100,4000,1000000,116.3279237,39.84256696,1.3
101,4000,1000000,116.3396113,39.84263408,1.5
102,4000,1000000,116.3512988,39.84270002,1.5
103,4000,1000000,116.3629865,39.84276479,1.2
104,4000,1000000,116.3746741,39.84282838,1.4
105,4000,1000000,116.3863618,39.84289079,1.3
106,4000,1000000,116.3980495,39.84295202,1.4
107,4000,1000000,116.4097373,39.84301208,1.4
108,4000,1000000,116.4214251,39.84307096,1.4
109,4000,1000000,116.433113,39.84312866,1.3
110,4000,1000000,116.4448008,39.84318519,1.3
111,4000,1000000,116.4564887,39.84324054,1.4
112,4000,1000000,116.4681767,39.84329471,0.0
113,4000,1000000,116.4798646,39.8433477,0.0
114,4000,1000000,116.4915526,39.84339951,0.0
115,4000,1000000,116.5032407,39.84345015,0.0
116,4000,1000000,116.5149287,39.84349961,1.2
117,4000,1000000,116.5266168,39.84354789,0.0
118,4000,1000000,116.5383049,39.843595,0.0
119,4000,1000000,116.549993,39.84364093,0.0
120,4000,1000000,116.5616812,39.84368568,1.5
121,4000,1000000,116.2226361,39.85091909,1.0
122,4000,1000000,116.2343247,39.85099684,0.0
123,4000,1000000,116.2460135,39.8510734,1.6
124,4000,1000000,116.2577023,39.85114879,0.0
125,4000,1000000,116.2693911,39.851223,1.6
126,4000,1000000,116.28108,39.85129603,1.4
127,4000,1000000,116.2927689,39.85136788,0.0
128,4000,1000000,116.3044578,39.85143856,1.6
129,4000,1000000,116.3161468,39.85150805,1.6
130,4000,1000000,116.3278358,39.85157638,1.5
131,4000,1000000,116.3395249,39.85164352,0.0
132,4000,1000000,116.351214,39.85170948,1.5
133,4000,1000000,116.3629032,39.85177427,1.0
134,4000,1000000,116.3745924,39.85183788,1.5
135,4000,1000000,116.3862816,39.85190031,1.4
136,4000,1000000,116.3979709,39.85196157,1.3
137,4000,1000000,116.4096602,39.85202164,1.5
138,4000,1000000,116.4213495,39.85208054,1.3
139,4000,1000000,116.4330388,39.85213826,1.2
140,4000,1000000,116.4447282,39.85219481,1.3
141,4000,1000000,116.4564177,39.85225017,0.0
142,4000,1000000,116.4681071,39.85230436,0.0
143,4000,1000000,116.4797966,39.85235737,1.2
144,4000,1000000,116.4914862,39.8524092,0.0
145,4000,1000000,116.5031757,39.85245985,0.0
146,4000,1000000,116.5148653,39.85250933,0.0
147,4000,1000000,116.5265549,39.85255763,0.0
148,4000,1000000,116.5382446,39.85260475,0.0
149,4000,1000000,116.5499342,39.85265069,0.0
150,4000,1000000,116.5616239,39.85269545,1.6
151,4000,1000000,116.2225344,39.85992829,0.0
152,4000,1000000,116.2342246,39.86000606,0.0
153,4000,1000000,116.2459149,39.86008265,1.0
154,4000,1000000,116.2576052,39.86015806,0.0
155,4000,1000000,116.2692956,39.86023229,1.2
156,4000,1000000,116.2809859,39.86030534,1.1
157,4000,1000000,116.2926764,39.86037722,1.3
158,4000,1000000,116.3043669,39.86044792,0.0
159,4000,1000000,116.3160574,39.86051744,0.0
160,4000,1000000,116.327748,39.86058578,1.3
161,4000,1000000,116.3394386,39.86065295,0.0
162,4000,1000000,116.3511292,39.86071893,0.0
163,4000,1000000,116.3628199,39.86078374,1.2
164,4000,1000000,116.3745106,39.86084737,1.2
165,4000,1000000,116.3862013,39.86090982,1.3
166,4000,1000000,116.3978921,39.86097109,1.4
167,4000,1000000,116.409583,39.86103119,1.5
168,4000,1000000,116.4212738,39.86109011,1.2
169,4000,1000000,116.4329647,39.86114785,1.3
170,4000,1000000,116.4446556,39.86120441,1.2
171,4000,1000000,116.4563466,39.86125979,1.3
172,4000,1000000,116.4680376,39.86131399,1.1
173,4000,1000000,116.4797286,39.86136702,1.3
174,4000,1000000,116.4914197,39.86141887,1.6
175,4000,1000000,116.5031107,39.86146954,1.4
176,4000,1000000,116.5148019,39.86151903,0.0
177,4000,1000000,116.526493,39.86156734,0.0
178,4000,1000000,116.5381842,39.86161448,0.0
179,4000,1000000,116.5498754,39.86166044,1.5
180,4000,1000000,116.5615666,39.86170521,0.0
181,4000,1000000,116.2224327,39.86893747,0.0
182,4000,1000000,116.2341245,39.86901526,0.0
183,4000,1000000,116.2458162,39.86909188,1.0
184,4000,1000000,116.2575081,39.86916731,1.6
185,4000,1000000,116.2692,39.86924157,1.3
186,4000,1000000,116.2808919,39.86931465,1.4
187,4000,1000000,116.2925839,39.86938654,1.5
188,4000,1000000,116.3042759,39.86945727,1.6
189,4000,1000000,116.3159679,39.86952681,1.1
190,4000,1000000,116.32766,39.86959517,1.2
191,4000,1000000,116.3393521,39.86966236,1.4
