OBJECTID,x,y,pick_up
92,434500,4410500,0.5
93,435500,4410500,0.0
94,436500,4410500,0.1875
95,437500,4410500,0.0
96,438500,4410500,0.03676470588235294
97,439500,4410500,0.2608695652173913
98,440500,4410500,0.0
99,441500,4410500,0.38461538461538464
100,442500,4410500,0.22580645161290322
101,443500,4410500,0.024630541871921183
102,444500,4410500,0.58
103,445500,4410500,0.1893491124260355
104,446500,4410500,0.22641509433962265
105,447500,4410500,0.25925925925925924
106,448500,4410500,0.018691588785046728
107,449500,4410500,0.09333333333333334
108,450500,4410500,0.1984126984126984
109,451500,4410500,0.44285714285714284
110,452500,4410500,0.16853932584269662
111,453500,4410500,0.03125
112,454500,4410500,0.03763440860215054
113,455500,4410500,0.0
114,456500,4410500,0.0
115,457500,4410500,0.038461538461538464
116,458500,4410500,0.0
117,459500,4410500,0.025
118,460500,4410500,0.0
119,461500,4410500,0.0
120,462500,4410500,0.22727272727272727
121,433500,4411500,0.0
122,434500,4411500,0.017241379310344827
123,435500,4411500,0.0
124,436500,4411500,0.0
125,437500,4411500,1.0
126,438500,4411500,0.15447154471544716
127,439500,4411500,0.2
128,440500,4411500,0.5769230769230769
129,441500,4411500,0.06842105263157895
130,442500,4411500,0.07602339181286549
131,443500,4411500,0.003205128205128205
132,444500,4411500,0.009708737864077669
133,445500,4411500,0.03225806451612903
134,446500,4411500,0.18846153846153846
135,447500,4411500,0.07878787878787878
136,448500,4411500,0.0625
137,449500,4411500,0.02258064516129032
138,450500,4411500,0.03139013452914798
139,451500,4411500,0.11458333333333333
140,452500,4411500,0.11764705882352941
141,453500,4411500,0.03614457831325301
142,454500,4411500,0.1111111111111111
143,455500,4411500,0.0051813471502590676
144,456500,4411500,0.0
145,457500,4411500,0.27906976744186046
146,458500,4411500,0.02127659574468085
147,459500,4411500,0.04081632653061224
148,460500,4411500,0.0
149,461500,4411500,0.0
150,462500,4411500,0.0
151,433500,4412500,0.0
152,434500,4412500,0.0
153,435500,4412500,0.023255813953488372
154,436500,4412500,0.045454545454545456
155,437500,4412500,0.05660377358490566
156,438500,4412500,0.05027932960893855
157,439500,4412500,0.25757575757575757
158,440500,4412500,0.024539877300613498
159,441500,4412500,0.05128205128205128
160,442500,4412500,0.2222222222222222
161,443500,4412500,0.030120481927710843
162,444500,4412500,0.34782608695652173
163,445500,4412500,0.05228758169934641
164,446500,4412500,1.0
165,447500,4412500,0.15789473684210525
166,448500,4412500,0.3006993006993007
167,449500,4412500,0.1693548387096774
168,450500,4412500,0.11714285714285715
169,451500,4412500,0.11527377521613832
170,452500,4412500,0.09200968523002422
171,453500,4412500,0.04597701149425287
172,454500,4412500,0.12903225806451613
173,455500,4412500,0.06046511627906977
174,456500,4412500,0.06060606060606061
175,457500,4412500,0.1511627906976744
176,458500,4412500,0.0
177,459500,4412500,0.05263157894736842
178,460500,4412500,0.0
179,461500,4412500,0.0
180,462500,4412500,0.3076923076923077
181,433500,4413500,0.0
182,434500,4413500,0.07692307692307693
183,435500,4413500,0.2619047619047619
184,436500,4413500,0.14782608695652175
185,437500,4413500,0.12837837837837837
186,438500,4413500,0.358695652173913
187,439500,4413500,0.5658914728682171
188,440500,4413500,0.04128440366972477
189,441500,4413500,0.03529411764705882
190,442500,4413500,0.012903225806451613
191,443500,4413500,0.06018518518518518
192,444500,4413500,0.14332247557003258
193,445500,4413500,0.03985507246376811
194,446500,4413500,0.12927756653992395
195,447500,4413500,0.18518518518518517
196,448500,4413500,0.09653465346534654
197,449500,4413500,0.031189083820662766
198,450500,4413500,0.05571847507331378
199,451500,4413500,0.10526315789473684
200,452500,4413500,0.22289156626506024
201,453500,4413500,0.11951219512195121
202,454500,4413500,0.23756906077348067
203,455500,4413500,0.062111801242236024
204,456500,4413500,0.04195804195804196
205,457500,4413500,0.06164383561643835
206,458500,4413500,0.0
207,459500,4413500,0.02
208,460500,4413500,0.0783132530120482
209,461500,4413500,0.21794871794871795
210,462500,4413500,0.0
211,433500,4414500,0.0
212,434500,4414500,0.09090909090909091
213,435500,4414500,0.0
214,436500,4414500,0.5217391304347826
215,437500,4414500,0.05
